外邦図_地図記号,外邦図_画像X(px),外邦図_画像Y(py),外邦図_緯度,外邦図_経度,現存結果,正解データ_種別,正解データ_固有名,正解データ_緯度,正解データ_経度,距離差_メートル
shrine,3409.2687377929688,2526.9985961914062,33.265546828190324,130.3542057681064,True,神社,名称不明,33.26494240023674,130.35348728299144,94.76
shrine,3629.360931396485,4279.421157836914,33.19871363445171,130.36393413694026,True,神社,名称不明,33.19832084789407,130.36395594477654,43.72
shrine,5789.463401794434,797.2067184448242,33.33168683962259,130.46216881516938,True,神社,名称不明,33.33137423189444,130.462376922369,39.78
shrine,1675.6681823730469,1607.6767578125,33.30070943785747,130.27514737939802,True,神社,名称不明,33.300195178626105,130.27506485581398,57.7
shrine,1589.8543167114258,783.16064453125,33.33228576746713,130.27108607683525,True,神社,名称不明,33.33187733569045,130.2707934379578,52.93
shrine,5329.909194946289,4161.731323242188,33.20318884450059,130.44128846546124,True,神社,名称不明,33.20309123227986,130.44077038764956,49.41
shrine,3616.104705810547,2359.0196838378906,33.27196240467797,130.36362315670772,True,神社,名称不明,33.27231612157578,130.36319956183436,55.66
shrine,3663.5348358154297,2662.230865478516,33.26037992316168,130.36577491075911,True,神社,名称不明,33.25965617126115,130.36530777812004,91.45
shrine,5334.184005737305,3027.252212524414,33.24643227628778,130.441694053284,False,神社,名称不明,33.2422297600712,130.4387989640236,539.31
shrine,1294.691635131836,3746.17626953125,33.21903322961095,130.25762198660155,True,神社,名称不明,33.219031026255074,130.25702029466632,55.97
shrine,4834.637954711914,2210.939064025879,33.27760863948947,130.41903109807555,True,神社,名称不明,33.27690083599582,130.41856437921527,89.87
shrine,1248.430191040039,1429.9947052001953,33.307513856874216,130.25562264476446,True,神社,名称不明,33.30778111690444,130.256242454052,64.81
shrine,1567.4119567871094,3042.137664794922,33.245888035944,130.27019940354526,True,神社,名称不明,33.24561370309856,130.27047291398048,39.72
shrine,4152.733184814453,2650.6104736328125,33.26081963163836,130.38803193074716,True,神社,名称不明,33.25988830555355,130.38741052150723,118.59
shrine,6261.721420288086,3153.007553100586,33.24162600869375,130.48376835023214,True,神社,名称不明,33.24144348209749,130.4840317368507,31.81
shrine,6525.986511230469,3048.372100830078,33.245614961667386,130.49575979692145,True,神社,名称不明,33.245549771680096,130.4957650601864,7.27
shrine,2486.322265625,4430.010925292969,33.192981607645926,130.31180765524027,True,神社,名称不明,33.19243914821827,130.3122805058956,74.66
shrine,3474.5794072151184,1497.1972198486328,33.30491871425087,130.35712137616318,True,神社,名称不明,33.30360713913395,130.35758033394816,151.95
shrine,1839.2192993164065,3081.652569770813,33.24437882516289,130.2826003662673,True,神社,名称不明,33.2439851197573,130.28201445937157,69.9
shrine,4615.14466714859,4964.175750732422,33.172656459948705,130.40853569670787,False,神社,名称不明,33.17153970344893,130.40627449750895,244.36
shrine,4670.5595626831055,3721.069305419922,33.219979198732965,130.4114402350005,True,神社,名称不明,33.21962902058559,130.4110179841518,55.31
shrine,3994.690155029297,1691.7305908203125,33.297469594810615,130.38081113288692,True,神社,名称不明,33.29713618203446,130.38085386157033,37.29
shrine,4664.596282958984,3880.937347412109,33.213887373022665,130.41113348688685,True,神社,名称不明,33.21354566806698,130.410870462656,45.19
shrine,5755.046539306641,855.3309783935547,33.329460876960226,130.4606225944451,True,神社,名称不明,33.32932481024013,130.46098619699478,37.01
shrine,1910.2965698242188,1115.969482421875,33.31953148668403,130.2857786567253,True,神社,名称不明,33.31897836076072,130.28525054454803,78.68
shrine,3959.030258178711,3816.914978027344,33.216330130155875,130.37906174766425,True,神社,名称不明,33.2155304896525,130.37847742438316,104.22
shrine,3495.912124633789,2367.36531829834,33.271644588571284,130.35815234087357,False,神社,名称不明,33.27231612157578,130.36319956183436,475.13
shrine,2399.556381225586,1337.2720489501953,33.3110521021688,130.30812830225605,True,神社,名称不明,33.310615586718576,130.3075115382671,75.11
shrine,3385.6791458129883,2922.664123535156,33.25043884967269,130.35310861103284,True,神社,名称不明,33.2497826035922,130.35293743014338,74.69
shrine,2117.834306716919,4368.410827636719,33.195326888780706,130.29502119389244,True,神社,名称不明,33.195662292252614,130.29518276453018,40.21
shrine,1443.9995574951172,1731.4514465332031,33.295975385616,130.26458564125144,True,神社,名称不明,33.295967031880934,130.26462972164157,4.2
shrine,2097.2662963867188,960.518524169922,33.32548396133411,130.29427484259105,True,神社,名称不明,33.32485378870972,130.2941782772541,70.64
shrine,4173.130584716797,1028.876121520996,33.322838579632325,130.38881744275352,False,神社,名称不明,33.31897836076072,130.3872415423393,453.52
shrine,1688.392349243164,1440.9700164794922,33.307089668773216,130.27570742013123,True,神社,名称不明,33.30634759550627,130.2761323750019,91.48
shrine,4405.050811767578,3070.041046142578,33.244807205965124,130.39947406942252,True,神社,名称不明,33.2439537142707,130.39916932582852,99.05
shrine,5689.711875915527,4524.037902832031,33.189395918872975,130.45751342335694,True,神社,名称不明,33.189052025728465,130.4571868479252,48.84
shrine,2246.890914916992,3912.971450805664,33.21267482578199,130.30104137418817,True,神社,名称不明,33.2124786255335,130.3013531863689,36.3
shrine,6289.824401855469,3806.0491943359375,33.21673044872891,130.48493657305173,True,神社,名称不明,33.21617226518009,130.48488602042195,62.25
shrine,5127.770904541016,4002.516510009766,33.209253439805146,130.4321499278588,True,神社,名称不明,33.20952764100747,130.43151542544368,66.44
