外邦図_地図記号,外邦図_画像X(px),外邦図_画像Y(py),外邦図_緯度,外邦図_経度,現存結果,正解データ_種別,正解データ_固有名,正解データ_緯度,正解データ_経度,距離差_メートル
temple,5789.185977935791,1548.6067504882812,33.30292113623431,130.46230930551167,True,寺,名称不明,33.30247282279066,130.46193435788155,60.82
temple,2756.1790084838867,4138.399040222168,33.2040857663179,130.32420131643897,True,寺,名称不明,33.20482269071198,130.32421767711637,81.96
temple,3337.7328338623047,2953.5069732666016,33.24926190496467,130.35092260475076,True,寺,名称不明,33.24881021439915,130.35045638680458,66.35
temple,3383.8743743896484,3061.145309448242,33.24515361858847,130.35301241146135,True,寺,名称不明,33.24489138750997,130.3531010448933,30.3
temple,3090.637893676758,3766.792037963867,33.2182436136187,130.3395375353886,True,寺,名称不明,33.21837132045098,130.33940568566325,18.76
temple,1377.8724822998047,3323.314754486084,33.235159115683004,130.26150530954123,True,寺,名称不明,33.234946603749414,130.26166990399363,28.16
temple,3092.688859939575,4777.442596435547,33.179759510672035,130.3393198737837,True,寺,名称不明,33.18004375253287,130.34022107720378,89.63
temple,2353.0616455078125,2773.7976303100586,33.25612858966719,130.306069852898,True,寺,名称不明,33.25610455181793,130.30566081404683,38.13
temple,3826.110626220703,4060.9614868164062,33.2070327712405,130.3729523517795,True,寺,名称不明,33.2067336514158,130.37236332893372,64.1
temple,2750.285530090332,2485.102783203125,33.267152313811,130.32419082805723,True,寺,名称不明,33.26690699267597,130.32340094447133,78.34
temple,3687.327042579651,2975.9850463867188,33.24840165401761,130.36683516872628,True,寺,名称不明,33.24745087019616,130.36721348762512,111.42
temple,4138.23233795166,2736.8581771850586,33.25752649866975,130.38736818364706,True,寺,名称不明,33.2571284468168,130.38699746131894,56.1
temple,2403.6460876464844,2353.700439453125,33.27217546932098,130.30839246680458,True,寺,名称不明,33.27176109579053,130.3076376020908,83.95
temple,5501.909896850586,4377.385955810547,33.194977932761475,130.4490351098854,True,寺,名称不明,33.194528818493346,130.4489202797413,51.07
temple,1378.856346130371,1898.6809387207031,33.28957873437739,130.26162425672095,True,寺,名称不明,33.289130048207625,130.26106640696528,71.96
temple,1351.508773803711,3314.2060546875,33.23550668163857,130.26030290555724,True,寺,名称不明,33.235617401867174,130.26038914918902,14.69
temple,5639.858840942383,3559.7270889282227,33.22612242674679,130.45549754747475,True,寺,名称不明,33.22628521809116,130.45623198151588,70.67
temple,3211.469940185547,891.2640151977539,33.32812312356318,130.34503074670533,False,寺,名称不明,33.32665791272559,130.329724252224,1431.4
temple,3084.390545845032,2544.8387489318848,33.264867905198635,130.33941086426913,True,寺,名称不明,33.26444227432847,130.339087843895,56.05
temple,6617.979721069336,1052.5255889892578,33.32189411460612,130.49979341527927,True,寺,名称不明,33.32204891800708,130.4998487234116,17.96
temple,2986.885940551758,4042.5342350006094,33.20773700112664,130.334741871796,True,寺,名称不明,33.207421497289445,130.3355620801449,83.99
temple,3364.2938690185547,3410.64013671875,33.23182084945672,130.3520717706941,True,寺,名称不明,33.23175855974348,130.35257264971736,47.1
temple,3144.5923614501958,869.582275390625,33.32895469583221,130.3419804973926,False,寺,名称不明,33.32665791272559,130.329724252224,1166.99
temple,1750.3299732208252,1515.7837524414062,33.30422552129604,130.27854355417497,True,寺,名称不明,33.304072294238544,130.27839481830597,21.94
temple,1523.161605834961,3043.8516540527344,33.245822780166435,130.26817907866211,True,寺,名称不明,33.245722498562806,130.26858732104304,39.57
temple,3772.341781616211,1480.725128173828,33.30554552245703,130.37066952426096,True,寺,名称不明,33.30543524045258,130.37071242928505,12.89
temple,3986.014938354492,4935.226974487305,33.173757819805594,130.37993246324618,True,寺,名称不明,33.17343904257871,130.38010954856873,39.09
temple,4428.913227081299,2146.0312309265137,33.28009367782421,130.40059020890982,True,寺,名称不明,33.27988318176462,130.39943888783452,109.56
temple,6170.457347869873,3332.834306716919,33.23476851611221,130.47960714140805,True,寺,名称不明,33.23401331085111,130.47957390546796,84.03
temple,3661.397567749024,3434.786102294922,33.23089852480417,130.3655936397298,True,寺,名称不明,33.22965407292506,130.36520585417747,143.0
temple,5554.085067749023,3725.2502899169926,33.21981441262463,130.45157227086685,True,寺,名称不明,33.21946072991147,130.45183047652245,46.08
temple,2795.7725524902344,3104.335906982422,33.24350877724304,130.32621832767555,True,寺,名称不明,33.243057531522794,130.32547160983088,85.67
temple,2697.356517553329,785.5513515472412,33.33218042139488,130.3215887296268,True,寺,名称不明,33.33152101748923,130.32097756862638,92.74
temple,1832.278060913086,804.1311950683594,33.33147925392179,130.2821524858321,False,寺,名称不明,33.32709493093555,130.2780233323574,620.35
temple,2819.229202270508,3448.553985595703,33.23037737780138,130.32723558940862,True,寺,名称不明,33.22971577235301,130.32730355858806,73.84
temple,3633.1126708984375,833.010627746582,33.33034911545588,130.3642087428673,True,寺,名称不明,33.33014055082386,130.36382719874382,42.36
temple,3894.724319458008,4074.3845825195312,33.20652126084712,130.37607113279864,True,寺,名称不明,33.20641048541966,130.3755310177803,51.74
temple,724.3274688720703,719.7719421386719,33.334725005804785,130.23154712902087,False,寺,万寿寺,33.327248447068555,130.25623306632045,2439.47
temple,2936.5323791503906,2687.6676025390625,33.2594139082433,130.33266912626624,True,寺,名称不明,33.258944064631535,130.33201619982722,80.09
temple,5330.573303222656,4420.515594482422,33.19333706947991,130.44124153640055,True,寺,名称不明,33.19287908294602,130.44120222330093,51.06
temple,1714.6268768310547,2955.453567504883,33.24919629696382,130.27692886073265,True,寺,名称不明,33.248708152160944,130.27659371495247,62.59
temple,1831.1969909667969,3588.5732765197754,33.22504108527371,130.28215053804908,True,寺,名称不明,33.225430363157685,130.28235644102097,47.33
temple,2270.558883666992,2671.4708557128906,33.260036737463814,130.30231429739595,True,寺,名称不明,33.25993540518981,130.30300676822662,65.36
temple,3291.547933578491,2282.5074462890625,33.27488893671002,130.34884769257707,True,寺,名称不明,33.27430970025057,130.34874647855762,65.09
temple,1840.7205810546875,2944.7482891082764,33.24960441282798,130.28268443154556,True,寺,名称不明,33.24937660157695,130.28333947062492,65.97
temple,4456.07307434082,3597.211807250977,33.224701323681494,130.40171481624512,True,寺,名称不明,33.2241031899295,130.40113672614095,85.53
temple,4131.916702270508,974.215558052063,33.32493268843425,130.38693131756412,True,寺,名称不明,33.32542192371786,130.38627997040746,81.37
temple,1499.9165802001953,1472.0113983154297,33.305903226565015,130.26710960971047,True,寺,名称不明,33.3061861967814,130.2668009698391,42.58
temple,3815.418350219727,2316.060196876526,33.273602059838474,130.37269300324306,True,寺,名称不明,33.273157063012924,130.37150636315346,120.91
temple,4618.50199341774,4799.123596191406,33.17893358833301,130.4087537744585,True,寺,名称不明,33.17844313263246,130.40886282920837,55.47
temple,3709.484733581543,3194.620079040528,33.24005878007273,130.3678185974395,True,寺,名称不明,33.239957274028555,130.3669372200966,82.74
temple,2236.243850708008,966.0636291503906,33.3252698885004,130.3006133487101,True,寺,名称不明,33.32668928846498,130.30028030276296,160.83
