epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,3821.2,1.45139,0.96858,0.83428,0.72974,0.71877,0.66878,0.36934,1.80621,2.06916,0.87963,0.000162075,0.000162075,0.000162075
85,3865.71,1.42242,0.97084,0.83099,0.74707,0.70607,0.67043,0.35719,1.78408,1.94313,0.87658,0.000153076,0.000153076,0.000153076
86,3910.03,1.44729,0.99783,0.82671,0.72646,0.72014,0.67254,0.36812,1.70938,2.04768,0.87074,0.000144077,0.000144077,0.000144077
87,3954.46,1.43913,0.98011,0.82943,0.74743,0.67674,0.67355,0.3754,1.74313,2.02232,0.87228,0.000135077,0.000135077,0.000135077
88,3998.84,1.42112,0.97776,0.82294,0.7241,0.69548,0.67829,0.3619,1.78441,2.03519,0.87726,0.000126078,0.000126078,0.000126078
89,4043.29,1.40498,0.96316,0.8266,0.75455,0.6838,0.67806,0.37201,1.80456,2.07398,0.87693,0.000117079,0.000117079,0.000117079
90,4089.93,1.41752,0.99313,0.83008,0.7615,0.68146,0.68704,0.38682,1.70059,2.09238,0.86887,0.00010808,0.00010808,0.00010808
91,4136.38,1.4006,0.92878,0.83372,0.71314,0.67155,0.66899,0.37255,1.78222,1.89546,0.87438,9.9081e-05,9.9081e-05,9.9081e-05
92,4182.2,1.37225,0.91258,0.82977,0.71585,0.69692,0.6671,0.37749,1.74914,2.03363,0.87213,9.00819e-05,9.00819e-05,9.00819e-05
93,4226.5,1.37526,0.90235,0.83402,0.73028,0.70344,0.67735,0.3856,1.7202,2.01023,0.86976,8.10828e-05,8.10828e-05,8.10828e-05
94,4270.23,1.36712,0.885,0.83153,0.70663,0.74124,0.67833,0.38769,1.71375,2.01338,0.87029,7.20837e-05,7.20837e-05,7.20837e-05
95,4314.12,1.35548,0.88088,0.83145,0.69118,0.73184,0.67038,0.37574,1.76464,2.09222,0.87551,6.30846e-05,6.30846e-05,6.30846e-05
96,4357.97,1.36258,0.90165,0.82557,0.68506,0.73858,0.67257,0.37514,1.76342,2.03318,0.87327,5.40855e-05,5.40855e-05,5.40855e-05
97,4401.92,1.36358,0.87745,0.82658,0.70362,0.72512,0.66952,0.37814,1.7585,2.05637,0.87375,4.50864e-05,4.50864e-05,4.50864e-05
98,4445.87,1.37593,0.87927,0.83358,0.7019,0.74307,0.67426,0.38034,1.73379,2.09198,0.87218,3.60873e-05,3.60873e-05,3.60873e-05
99,4489.8,1.34531,0.88994,0.83272,0.71347,0.73832,0.67438,0.37946,1.72842,1.98984,0.8713,2.70882e-05,2.70882e-05,2.70882e-05
100,4533.8,1.38604,0.8949,0.8295,0.70381,0.74493,0.67428,0.38265,1.72159,1.9944,0.87039,1.80891e-05,1.80891e-05,1.80891e-05
