名称,種別,緯度,経度,annoCtg,ftCode,source_layer
名称不明,神社,33.213789144929265,130.37573352456093,,3231,symbol
名称不明,神社,33.2155304896525,130.37847742438316,,3231,symbol
名称不明,神社,33.20709047915055,130.37555381655693,,3231,symbol
名称不明,寺,33.20865130286779,130.3800183534622,,3232,symbol
名称不明,寺,33.20641048541966,130.3755310177803,,3232,symbol
名称不明,神社,33.20183105013977,130.37568658590317,,3231,symbol
名称不明,寺,33.20162681588542,130.37642687559125,,3232,symbol
名称不明,寺,33.199612501977064,130.3789186477661,,3232,symbol
名称不明,寺,33.19316189696118,130.38015916943547,,3232,symbol
名称不明,神社,33.18145128612469,130.3767178952694,,3231,symbol
名称不明,寺,33.17867772741978,130.3760889172554,,3232,symbol
名称不明,神社,33.176915444996126,130.37839159369466,,3231,symbol
名称不明,寺,33.17343904257871,130.38010954856873,,3232,symbol
名称不明,神社,33.329274386464405,130.3852620720863,,3231,symbol
名称不明,神社,33.29713618203446,130.38085386157033,,3231,symbol
名称不明,神社,33.29205032075024,130.38424551486966,,3231,symbol
名称不明,神社,33.277049955704065,130.38574218749997,,3231,symbol
名称不明,神社,33.27091677707304,130.38175642490384,,3231,symbol
名称不明,神社,33.245925508293816,130.38240551948547,,3231,symbol
名称不明,神社,33.20945021840097,130.3810080885887,,3231,symbol
名称不明,神社,33.19996823654917,130.3810121119022,,3231,symbol
名称不明,寺,33.20063032543761,130.3824631869793,,3232,symbol
名称不明,神社,33.194967620471225,130.38349047303197,,3231,symbol
名称不明,寺,33.194184284453186,130.38560271263123,,3232,symbol
名称不明,神社,33.18678377008216,130.38071841001508,,3231,symbol
名称不明,寺,33.170660740027714,130.38267642259598,,3232,symbol
名称不明,神社,33.17164746847255,130.3832638263702,,3231,symbol
名称不明,神社,33.17083249219369,130.38397997617722,,3231,symbol
名称不明,神社,33.17012303009021,130.38457944989202,,3231,symbol
名称不明,寺,33.32542192371786,130.38627997040746,,3232,symbol
名称不明,寺,33.32145722779886,130.38892999291417,,3232,symbol
名称不明,神社,33.31897836076072,130.3872415423393,,3231,symbol
名称不明,神社,33.30999692026663,130.38845255970952,,3231,symbol
名称不明,神社,33.297963433175596,130.39008200168607,,3231,symbol
名称不明,神社,33.28804935443731,130.38923308253285,,3231,symbol
名称不明,寺,33.28817827607771,130.39000958204267,,3232,symbol
名称不明,神社,33.283135616389686,130.38714766502378,,3231,symbol
名称不明,寺,33.28255823680853,130.39066001772878,,3232,symbol
名称不明,神社,33.27566189924732,130.39106905460355,,3231,symbol
名称不明,神社,33.25988830555355,130.38741052150723,,3231,symbol
名称不明,寺,33.2571284468168,130.38699746131894,,3232,symbol
名称不明,寺,33.259914098214644,130.38966089487076,,3232,symbol
名称不明,神社,33.239599458651824,130.388990342617,,3231,symbol
名称不明,神社,33.23738971995944,130.38812801241872,,3231,symbol
名称不明,寺,33.23514627329228,130.39056479930875,,3232,symbol
名称不明,神社,33.221868377676216,130.388361364603,,3231,symbol
名称不明,寺,33.21594338074171,130.38797512650487,,3232,symbol
風浪宮,神社,33.211223066712,130.38674935698506,661.0,100,label
名称不明,寺,33.21019638994632,130.39074316620824,,3232,symbol
名称不明,神社,33.20752360771693,130.39078742265698,,3231,symbol
名称不明,神社,33.19731983092989,130.38816154003143,,3231,symbol
名称不明,神社,33.19387117253749,130.38701623678207,,3231,symbol
名称不明,神社,33.19186229168084,130.38823932409284,,3231,symbol
名称不明,神社,33.18127506505514,130.3874051570892,,3231,symbol
名称不明,神社,33.17905599616072,130.38721337914464,,3231,symbol
名称不明,寺,33.31488785187399,130.39640128612515,,3232,symbol
名称不明,神社,33.31399015560957,130.39657697081563,,3231,symbol
名称不明,神社,33.28296856909769,130.39639458060262,,3231,symbol
名称不明,神社,33.274771647868306,130.3940315544605,,3231,symbol
名称不明,寺,33.26166798130238,130.39561137557027,,3232,symbol
名称不明,神社,33.25710938206885,130.39337307214734,,3231,symbol
名称不明,寺,33.22924685560897,130.392410159111,,3232,symbol
名称不明,神社,33.22832359830789,130.3922478854656,,3231,symbol
名称不明,寺,33.22882954002864,130.39456665515897,,3232,symbol
名称不明,神社,33.22211070947538,130.39404496550557,,3231,symbol
名称不明,寺,33.19739389759952,130.39428904652593,,3232,symbol
名称不明,寺,33.19739389759955,130.39428904652593,,3232,symbol
名称不明,神社,33.18951442392752,130.39213523268697,,3231,symbol
名称不明,寺,33.18908681791088,130.39256572723386,,3232,symbol
名称不明,寺,33.188549221033036,130.39425417780873,,3232,symbol
名称不明,神社,33.188892654909765,130.39521306753156,,3231,symbol
名称不明,神社,33.186275340545855,130.39595201611516,,3231,symbol
名称不明,神社,33.17636879350141,130.39655953645703,,3231,symbol
名称不明,神社,33.33162746490324,130.3977437317371,,3231,symbol
名称不明,神社,33.32635648093942,130.39694711565969,,3231,symbol
名称不明,寺,33.32915112822308,130.4011112451553,,3232,symbol
名称不明,神社,33.3060068645145,130.3976860642433,,3231,symbol
名称不明,寺,33.30455762210053,130.39734944701192,,3232,symbol
名称不明,寺,33.30414290792906,130.39709866046903,,3232,symbol
名称不明,寺,33.30361050170987,130.40012553334233,,3232,symbol
名称不明,神社,33.296518540904756,130.40060296654698,,3231,symbol
名称不明,寺,33.27988318176462,130.39943888783452,,3232,symbol
名称不明,寺,33.271365287368425,130.3981930017471,,3232,symbol
名称不明,神社,33.25304961744837,130.39785370230672,,3231,symbol
