名称,種別,緯度,経度,annoCtg,ftCode,source_layer
名称不明,寺,33.32367268356441,130.27399733662608,,3232,symbol
名称不明,寺,33.29932199119903,130.27446269989014,,3232,symbol
名称不明,寺,33.24947529837298,130.27300894260406,,3232,symbol
名称不明,寺,33.24685418768084,130.27353733778,,3232,symbol
名称不明,寺,33.24708747757031,130.27519762516025,,3232,symbol
名称不明,寺,33.24503607542737,130.27352660894394,,3232,symbol
名称不明,寺,33.24019619069041,130.27286142110825,,3232,symbol
名称不明,寺,33.23182923192938,130.2714666724205,,3232,symbol
名称不明,寺,33.21631812259808,130.2754752337933,,3232,symbol
名称不明,寺,33.32709493093555,130.2780233323574,,3232,symbol
名称不明,寺,33.30514830617769,130.27677744627,,3232,symbol
名称不明,寺,33.304072294238544,130.27839481830597,,3232,symbol
名称不明,寺,33.29475414814463,130.2806532382965,,3232,symbol
名称不明,寺,33.2929202179766,130.2784202992916,,3232,symbol
名称不明,寺,33.28676236970799,130.27730852365494,,3232,symbol
名称不明,寺,33.286306090947846,130.27733266353607,,3232,symbol
名称不明,寺,33.28600115639251,130.27923166751862,,3232,symbol
名称不明,寺,33.26267611171702,130.27617663145065,,3232,symbol
名称不明,寺,33.2564813645163,130.28122454881668,,3232,symbol
名称不明,寺,33.248708152160944,130.27659371495247,,3232,symbol
名称不明,寺,33.237537785414546,130.28084099292755,,3232,symbol
名称不明,寺,33.233442337087546,130.27609080076218,,3232,symbol
名称不明,寺,33.223966320539155,130.27620747685432,,3232,symbol
名称不明,寺,33.2241379681831,130.28139889240265,,3232,symbol
名称不明,寺,33.31920697531936,130.2832818031311,,3232,symbol
名称不明,寺,33.312572426702104,130.28217405080795,,3232,symbol
名称不明,寺,33.31364160937515,130.28330728411674,,3232,symbol
名称不明,寺,33.252529236189844,130.28427824378014,,3232,symbol
名称不明,寺,33.250315338181906,130.28407841920853,,3232,symbol
名称不明,寺,33.24824382355069,130.282364487648,,3232,symbol
名称不明,寺,33.24937660157695,130.28333947062492,,3232,symbol
名称不明,寺,33.24820456860338,130.28452098369598,,3232,symbol
名称不明,寺,33.244440498045165,130.28172478079796,,3232,symbol
名称不明,寺,33.24318315468944,130.28547316789627,,3232,symbol
名称不明,寺,33.238870363226624,130.28613835573196,,3232,symbol
高伝寺,寺,33.237817090022176,130.2831007540226,662.0,100,label
名称不明,寺,33.225430363157685,130.28235644102097,,3232,symbol
名称不明,寺,33.22563678558652,130.28468057513237,,3232,symbol
名称不明,寺,33.21783951317153,130.28260454535484,,3232,symbol
名称不明,寺,33.21184131106374,130.28324156999588,,3232,symbol
名称不明,寺,33.21199502994332,130.28385177254677,,3232,symbol
名称不明,寺,33.21477538759402,130.28475165367126,,3232,symbol
