名称,種別,緯度,経度,ftCode,source_layer
,田,33.30807028411902,130.25192409753802,6311,symbol
,果樹園,33.309564299451175,130.25326654314998,6314,symbol
,畑,33.30902632238589,130.2534140646458,6312,symbol
,果樹園,33.307923459025254,130.2525852620602,6314,symbol
,畑,33.30946903292106,130.25391295552257,6312,symbol
,田,33.306262412883136,130.25066882371905,6311,symbol
,田,33.30400392219798,130.2503335475922,6311,symbol
,田,33.30329778159434,130.25114223361018,6311,symbol
,田,33.30710751048821,130.25140911340716,6311,symbol
,田,33.306931542563895,130.2521896362305,6311,symbol
,田,33.306262412883136,130.2516143023968,6311,symbol
,田,33.304749286632344,130.25221511721614,6311,symbol
,田,33.30391201215734,130.2516143023968,6311,symbol
,田,33.303409867786186,130.25232508778575,6311,symbol
,田,33.30392882497688,130.2528011798859,6311,symbol
,田,33.30345470222257,130.2536675333977,6311,symbol
,田,33.30289202837528,130.25034025311473,6311,symbol
,田,33.301629922040455,130.25042071938518,6311,symbol
,田,33.30120622683161,130.2510577440262,6311,symbol
,田,33.29982528001297,130.25034695863727,6311,symbol
,田,33.300614395157965,130.25050789117816,6311,symbol
,田,33.29958876825941,130.25115832686427,6311,symbol
,田,33.29892967051035,130.25094375014308,6311,symbol
,田,33.30272950238512,130.25184094905856,6311,symbol
,田,33.30223855996869,130.25122538208964,6311,symbol
,田,33.30243471309213,130.25249272584918,6311,symbol
,田,33.30179245007968,130.25180205702785,6311,symbol
,田,33.30069958329778,130.25175511837008,6311,symbol
,田,33.301200622383845,130.25239884853366,6311,symbol
,田,33.302813567590256,130.2530170977116,6311,symbol
,田,33.30082288177386,130.25304257869723,6311,symbol
,田,33.30010774818636,130.2524256706238,6311,symbol
,田,33.29843870670561,130.25141984224322,6311,symbol
,果樹園,33.29884448064194,130.2521172165871,6314,symbol
,田,33.30012231993242,130.25351330637935,6311,symbol
,果樹園,33.29891846132188,130.25255307555202,6314,symbol
,田,33.29925025269064,130.25342613458636,6311,symbol
,田,33.29836584654479,130.2502262592316,6311,symbol
,果樹園,33.29835687913616,130.2526777982712,6314,symbol
,田,33.29836584654477,130.2502262592316,6311,symbol
,田,33.297785204934215,130.25091692805293,6311,symbol
,畑,33.29671246499721,130.25031208992007,6312,symbol
,田,33.297295355627774,130.25150030851367,6311,symbol
,田,33.297909628461845,130.25205016136172,6311,symbol
,田,33.29650957330625,130.25230094790462,6311,symbol
,田,33.29671470689171,130.25378823280337,6311,symbol
,田,33.2959703947514,130.25153383612636,6311,symbol
,田,33.29590986306315,130.2524980902672,6311,symbol
,田,33.29522383432779,130.25238007307055,6311,symbol
,田,33.29384391378437,130.2515056729317,6311,symbol
,田,33.2944940821536,130.25221914052966,6311,symbol
,畑,33.29418357131275,130.2527099847794,6312,symbol
,畑,33.29272404345747,130.2501726150513,6312,symbol
,畑,33.29155819721532,130.250568240881,6312,symbol
,畑,33.29144385376428,130.25115832686427,6312,symbol
,田,33.291006656834334,130.2509088814259,6311,symbol
,田,33.28979706724713,130.25039657950404,6311,symbol
,田,33.29295833183201,130.25156468153003,6311,symbol
,田,33.292346266140854,130.25176182389262,6311,symbol
,田,33.29191243675954,130.25227278470996,6311,symbol
,田,33.29334507442316,130.2528735995293,6311,symbol
,畑,33.29366567712661,130.25349989533427,6312,symbol
,田,33.29258279753054,130.25310426950458,6311,symbol
,田,33.29203014261887,130.25373458862308,6311,symbol
,田,33.290669228988016,130.25170013308528,6311,symbol
,田,33.290922580250495,130.25251016020778,6311,symbol
,田,33.28985536110578,130.25133937597278,6311,symbol
,田,33.289358741024124,130.25192275643352,6311,symbol
,田,33.29123758676773,130.25331616401675,6311,symbol
,田,33.28998988524635,130.25254771113399,6311,symbol
,田,33.28933632018627,130.25300368666652,6311,symbol
,畑,33.29014907187811,130.25349989533427,6312,symbol
,畑,33.2906232669545,130.253990739584,6312,symbol
,畑,33.28888790221924,130.25113955140117,6312,symbol
,畑,33.287936127448205,130.2502101659775,6312,symbol
